interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,10.517245188802235,0.0,37.03498529109366,0.5467971315286042,0.4,42.234985291093665,42.2270124418155,41.03498529109366,40.97980155475474,42.234985291093665,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.008853899984387681,0.0,1
1,0.25,10.517245188802235,0.0,36.85605318592395,0.48916081357746577,0.4,42.234985291093665,42.21386667948176,41.03498529109366,41.039092139226895,42.234985291093665,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.007983999996213242,0.0,1
2,0.5,10.517245188802235,0.0,36.689999054674914,0.430559459582874,0.4,42.14101734584731,42.15289312333836,40.94089053461136,41.00812420549703,42.14101734584731,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.00786579999839887,0.0,1
3,0.75,10.517245188802235,0.0,36.53753396662968,0.37498665497624384,0.4,42.00913271986187,42.031631135358055,40.80895490974359,40.77985840614512,42.00913271986187,0.0,0.0,50.0,0.32151735566406703,0.0,2.6793112972005586,0.05,0,0,optimal,0.00771169998915866,0.0,1
4,1.0,8.04259926202524,0.0,36.399310800702104,0.32622959455311495,0.4,41.86641596725681,41.86070385958118,40.66622360749235,40.70479385219198,41.86641596725681,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.00795780000044033,0.0,1
5,1.25,8.04259926202524,0.0,36.2759214497091,0.2876109914064723,0.4,41.72605219131513,41.74341446961883,40.52586302646722,40.53849769093889,41.72605219131513,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.007775799982482567,0.0,1
6,1.5,8.04259926202524,0.0,36.16789428579471,0.26176263952049983,0.4,41.59460421018584,41.61861819405583,40.394427073054665,40.51826438626582,41.59460421018584,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.008170899993274361,0.0,1
7,1.75,8.04259926202524,0.0,36.075691897859436,0.25044606135980546,0.4,41.47546158309388,41.511350175870234,40.27530103608288,40.18534707567905,41.47546158309388,0.0,0.0,50.0,0.24727797786075717,0.0,2.0606498155063098,0.05,0,0,optimal,0.007884899998316541,0.0,1
8,2.0,7.512317992001598,0.0,35.99970911068358,0.25443246302451084,0.4,41.37047472451549,41.32155288116737,40.170333258662055,40.08539862852038,41.37047472451549,0.0,0.0,50.0,0.23136953976004804,0.0,1.9280794980004001,0.05,0,0,optimal,0.008545099990442395,0.0,1
9,2.25,7.512317992001598,0.0,35.94027129422693,0.27345017782900666,0.4,41.28072865309305,41.226373135362934,40.080607729302145,39.9480675206583,41.28072865309305,0.0,0.0,50.0,0.23136953976004804,0.0,1.9280794980004001,0.05,0,0,optimal,0.014425900008063763,1.734723475976807e-17,2
